,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,User_Score,Total_Shipped,Year
122,call of duty world at war,Shooter,M,X360,Activision,8.5,7.8,1.8158729063132706,2008.0
123,super mario galaxy 2,Platform,E,Wii,Nintendo,9.7,9.8,7.41,2010.0
124,super smash bros melee,Fighting,T,GC,Nintendo,9.2,8.310770234986945,7.41,2001.0
125,call of duty black ops 3,Shooter,M,XOne,Activision,7.192271689340214,8.310770234986945,1.8158729063132706,2015.0
126,battlefield 3,Shooter,M,X360,Electronic Arts,8.5,8.310770234986945,1.8158729063132706,2011.0
127,the legend of zelda twilight princess,Adventure,T,Wii,Nintendo,9.5,9.6,7.26,2006.0
128,battlefield 1,Shooter,M,PS4,Electronic Arts,7.192271689340214,8.310770234986945,1.8158729063132706,2016.0
129,battlefield 3,Shooter,M,PS3,Electronic Arts,8.5,8.310770234986945,1.8158729063132706,2011.0
130,need for speed underground,Racing,E,PS2,Electronic Arts,8.6,8.310770234986945,1.8158729063132706,2003.0
131,crash bandicoot 3 warped,Platform,E,PS,Sony Computer Entertainment,9.3,8.310770234986945,1.8158729063132706,1998.0
132,pokemon emerald version,Role Playing,E,GBA,Nintendo,7.7,8.310770234986945,7.06,2005.0
133,yokai watch 2 bony spirits,Role Playing,E10,3DS,Nintendo,7.192271689340214,8.310770234986945,7.03,2016.0
134,need for speed underground 2,Racing,E,PS2,Electronic Arts,8.3,8.310770234986945,1.8158729063132706,2004.0
135,just dance 4,Music,E10,Wii,Ubisoft,7.192271689340214,8.310770234986945,1.8158729063132706,2012.0
136,mario kart double dash,Racing,E,GC,Nintendo,8.5,8.310770234986945,6.88,2003.0
137,uncharted 3 drakes deception,Action,T,PS3,Sony Computer Entertainment,9.3,6.3,1.8158729063132706,2011.0
138,medal of honor frontline,Shooter,T,PS2,Electronic Arts,9.0,8.310770234986945,1.8158729063132706,2002.0
139,crash bandicoot,Platform,E,PS,Sony Computer Entertainment,7.8,8.310770234986945,6.82,1996.0
140,zumba fitness,Sports,E,Wii,Majesco,7.192271689340214,8.310770234986945,1.8158729063132706,2010.0
